age,sex,educ,race,income,married
59,1,9,1,0.0,1
31,0,1,3,17000.0,0
36,1,11,1,0.0,1
54,1,11,1,9100.0,1
39,0,5,3,37000.0,0
34,0,9,1,0.0,1
93,1,8,1,6000.0,1
69,0,13,1,350000.0,1
40,1,11,3,33000.0,1
27,1,11,1,25000.0,0
59,1,13,1,49000.0,1
31,1,11,3,0.0,1
73,1,13,4,35500.0,0
89,1,9,1,4000.0,1
39,1,10,3,15000.0,0
51,1,13,4,120000.0,1
32,0,9,1,13000.0,0
52,0,11,2,45000.0,0
24,0,7,1,0.0,0
48,1,10,1,4300.0,1
51,0,1,3,16000.0,1
43,1,14,1,365000.0,1
29,0,4,3,20000.0,0
44,1,15,1,17900.0,1
87,1,8,1,3600.0,0
27,1,11,3,10800.0,0
58,0,13,1,60900.0,1
32,1,11,3,25000.0,1
74,1,7,3,6520.0,0
28,1,13,4,21000.0,0
70,0,15,1,319000.0,1
35,0,9,1,30000.0,0
36,1,11,3,600.0,1
63,1,9,3,35800.0,1
21,1,9,3,18000.0,0
29,0,1,3,21200.0,1
44,0,13,1,50000.0,1
35,1,11,3,0.0,1
43,0,13,3,69800.0,1
59,1,10,4,30000.0,1
53,0,5,3,17300.0,1
42,0,10,1,38000.0,1
32,0,11,1,19000.0,1
50,0,16,1,52650.0,1
18,0,4,3,0.0,0
40,1,13,1,40000.0,1
42,1,11,1,7000.0,0
52,0,11,1,325000.0,1
56,1,14,1,52000.0,1
45,1,11,1,0.0,1
39,0,8,1,18000.0,0
28,0,10,1,49000.0,1
46,1,13,1,47000.0,1
45,0,11,3,50000.0,1
32,1,9,4,12000.0,1
22,1,9,1,5000.0,1
52,1,15,1,43000.0,1
21,0,3,3,12000.0,1
60,1,13,1,4000.0,1
77,1,11,1,2500.0,1
38,0,1,3,1800.0,0
40,1,11,3,15700.0,1
34,1,11,2,13700.0,0
48,1,12,1,76000.0,1
69,1,9,1,5010.0,1
46,0,11,1,85300.0,1
40,0,13,1,149000.0,0
26,1,9,3,12000.0,1
37,1,14,1,65000.0,0
30,0,5,3,13000.0,1
70,1,15,4,1800.0,1
42,1,4,3,0.0,0
24,1,3,3,12500.0,1
31,0,9,3,28000.0,1
20,0,8,3,8400.0,0
33,1,11,1,18500.0,0
47,0,7,1,155100.0,1
19,1,10,1,0.0,0
33,1,5,1,4600.0,0
66,1,13,4,4600.0,1
23,0,11,1,66000.0,0
51,1,9,1,9600.0,0
23,0,13,1,23500.0,0
47,1,13,1,63000.0,1
48,1,8,3,13000.0,1
43,1,11,1,8000.0,1
31,0,10,3,10400.0,0
47,1,3,3,10200.0,1
74,0,11,1,24400.0,0
93,1,1,2,6000.0,0
55,1,11,1,12800.0,0
29,1,9,3,24000.0,0
33,0,11,3,119000.0,1
50,0,2,3,18000.0,1
28,0,11,2,8100.0,1
29,1,13,1,38000.0,0
38,1,10,1,35000.0,1
42,0,9,3,50900.0,1
50,1,10,1,22640.0,0
77,0,4,3,12400.0,1
37,1,3,3,0.0,1
40,0,11,1,40000.0,0
30,0,6,3,40000.0,1
19,1,11,1,7000.0,0
50,1,9,3,60000.0,0
82,1,9,3,690.0,0
22,1,9,3,21000.0,0
63,0,12,1,94100.0,1
48,1,12,1,6800.0,0
46,0,15,1,52000.0,1
45,1,9,3,0.0,0
37,1,10,3,10800.0,0
76,0,13,4,680.0,0
25,0,9,1,0.0,0
40,1,10,3,33000.0,1
34,0,9,3,22500.0,1
56,1,13,4,2000.0,1
43,1,11,3,25000.0,1
42,0,14,1,115370.0,1
22,1,11,1,0.0,1
45,1,11,1,38580.0,0
32,1,3,3,16000.0,1
23,0,11,3,5600.0,1
19,0,10,2,14000.0,0
52,1,9,1,109000.0,0
44,1,13,4,27000.0,1
43,0,13,4,51800.0,0
34,1,13,4,0.0,1
32,1,13,1,28030.0,0
38,0,10,1,11200.0,0
40,1,10,1,62700.0,1
82,0,14,1,20000.0,1
31,1,9,2,23000.0,0
42,1,9,1,3000.0,1
47,0,1,2,220.0,0
66,0,16,1,120000.0,1
30,0,9,4,30000.0,0
42,1,10,3,28000.0,0
50,1,11,1,48700.0,1
26,1,10,1,11000.0,1
53,0,9,3,6000.0,0
22,0,8,4,7000.0,1
28,1,2,3,0.0,1
25,0,6,3,22000.0,1
30,1,11,3,20000.0,1
86,1,9,1,12020.0,1
33,0,12,3,33000.0,0
62,1,11,2,4900.0,0
23,1,12,3,0.0,0
36,0,12,1,60000.0,1
84,1,9,1,5600.0,1
29,0,6,1,28000.0,0
29,0,11,1,91000.0,1
18,1,8,2,0.0,0
